index,message,Nom_du_rappeur,date_message
41,"Lorenzo apporte une touche d'humour et de légèreté au rap français. Ses chansons sont toujours divertissantes.",Lorenzo,2023-03-13
42,"BendoZ a une voix distinctive qui se démarque dans l'industrie du rap français.",BendoZ,2023-03-14
43,"Alkapote excelle dans la création de morceaux énergiques et entraînants. Il sait comment faire bouger la foule.",Alkapote,2023-03-15
44,"Luv Resval a un style mélodique et émotionnel qui touche le cœur de l'auditeur. Il sait exprimer ses sentiments à travers sa musique.",Luv Resval,2023-03-16
45,"Savage Toddy apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Savage Toddy,2023-03-17
46,"Jul est un artiste prolifique qui sait comment rester pertinent dans l'industrie musicale. Son catalogue est impressionnant.",Jul,2023-03-18
47,"Zola a vraiment dominé cette année avec ses hits successifs. Il est au sommet de son jeu.",Zola,2023-03-19
48,"Luther continue de repousser les limites avec sa créativité musicale. Un vrai visionnaire.",Luther,2023-03-20
49,"Selug a une présence scénique incroyable. Il sait comment captiver la foule.",Selug,2023-03-21
50,"PLK démontre une fois de plus son talent avec son dernier freestyle. Des punchlines affûtées.",PLK,2023-03-22
51,"Playboi Carti a une esthétique visuelle unique qui accompagne parfaitement sa musique.",Playboi Carti,2023-03-23
52,"Tiakola continue de surprendre avec sa polyvalence musicale. Il n'a pas peur d'expérimenter.",Tiakola,2023-03-24
53,"Moji Sboy a un charisme indéniable. Il a le potentiel de devenir une grande figure du rap.",Moji Sboy,2023-03-25
54,"Winnterzuko a un style de production distinctif qui le démarque dans le monde du rap.",Winnterzuko,2023-03-26
55,"Kaaris a un flow agressif qui résonne avec l'authenticité du rap street.",Kaaris,2023-03-27
56,"Maes sait comment créer une connexion avec son public à travers ses paroles honnêtes.",Maes,2023-03-28
57,"PNL continue d'élever la barre avec ses clips cinématographiques et ses mélodies planantes.",PNL,2023-03-29
58,"Niska a une influence majeure sur la scène afrotrap. Son impact est incontestable.",Niska,2023-03-30
59,"XXXTentacion a laissé un héritage profond dans la musique avec son style unique.",XXXTentacion,2023-03-31
60,"Josman apporte une perspective authentique sur la vie urbaine à travers ses chansons.",Josman,2023-04-01
61,"Bushi a un lyrisme percutant qui résonne avec la réalité des rues. Il ne mâche pas ses mots.",Bushi,2023-04-02
62,"Nekfeu excelle dans l'art de raconter des histoires à travers ses textes complexes.",Nekfeu,2023-04-03
63,"Alpha apporte une énergie contagieuse à chaque performance live. Un véritable showman.",Alpha,2023-04-04
64,"Damso continue de fasciner avec son écriture poétique et sa production avant-gardiste.",Damso,2023-04-05
65,"Kalash mélange habilement le rap et la dancehall pour créer un son distinctif.",Kalash,2023-04-06
66,"Jokair a une approche musicale éclectique qui séduit un public varié.",Jokair,2023-04-07
67,"So La Lune apporte une ambiance mystique à travers sa musique. Un artiste véritablement original.",So La Lune,2023-04-08
68,"Ziak a un talent brut qui brille à travers sa musique. Il mérite une reconnaissance plus large.",Ziak,2023-04-09
69,"Kerchak apporte une énergie brute et authentique à travers son rap. Il laisse une impression durable.",Kerchak,2023-04-10
70,"Fave a un style futuriste qui le place à la pointe de l'innovation musicale.",Fave,2023-04-11
71,"Gazo excelle dans la création de morceaux entraînants qui restent en tête.",Gazo,2023-04-12
72,"Gradur continue de représenter la street avec son flow puissant et ses paroles percutantes.",Gradur,2023-04-13
73,"Leto apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Leto,2023-04-14
74,"Lesram a une présence scénique captivante. Il sait comment divertir la foule.",Lesram,2023-04-15
75,"Dinos a une musicalité riche qui offre une expérience auditive immersive.",Dinos,2023-04-16
76,"Orelsan continue d'être un pionnier du rap français avec son intelligence lyrique et sa diversité musicale.",Orelsan,2023-04-17
77,"Koba La D a un style sombre et percutant qui laisse une empreinte durable.",Koba La D,2023-04-18
78,"Khali apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Khali,2023-04-19
79,"Guizmo reste fidèle à son style indépendant et authentique. Un artiste qui reste vrai.",Guizmo,2023-04-20
80,"Ajna a un son atmosphérique qui crée une expérience sonore unique. Un artiste à part entière.",Ajna,2023-04-21
81,"Artel excelle dans la création de morceaux atmosphériques et expérimentaux. Son approche est novatrice.",Artel,2023-04-22
82,"Arso911 a un flow rapide et technique qui captive l'auditeur. Il est sous-estimé dans le game.",Arso911,2023-04-23
83,"Laylow continue de repousser les frontières du rap avec ses expérimentations sonores.",Laylow,2023-04-24
84,"Slimka apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Slimka,2023-04-25
85,"Sopico excelle dans la création de morceaux atmosphériques et introspectifs. Son talent ne peut être ignoré.",Sopico,2023-04-26
86,"Nepal a un flow unique et des paroles percutantes qui font réfléchir. Il repousse les limites du rap français.",Nepal,2023-04-27
87,"Lorenzo apporte une touche d'humour et de légèreté au rap français. Ses chansons sont toujours divertissantes.",Lorenzo,2023-04-28
88,"BendoZ a une voix distinctive qui se démarque dans l'industrie du rap français.",BendoZ,2023-04-29
89,"Alkapote excelle dans la création de morceaux énergiques et entraînants. Il sait comment faire bouger la foule.",Alkapote,2023-04-30
90,"Luv Resval a un style mélodique et émotionnel qui touche le cœur de l'auditeur. Il sait exprimer ses sentiments à travers sa musique.",Luv Resval,2023-05-01
91,"Savage Toddy apporte une énergie brute et authentique à travers son rap. Il se démarque dans la scène actuelle.",Savage Toddy,2023-05-02
92,"Jul continue d'innover avec son approche musicale. Il sait comment créer des hits populaires.",Jul,2023-05-03
93,"Zola ne cesse d'impressionner avec sa versatilité artistique. Chaque morceau est une nouvelle découverte.",Zola,2023-05-04
94,"Luther continue de faire évoluer le paysage musical avec des expérimentations sonores audacieuses.",Luther,2023-05-05
95,"Selug a récemment sorti un projet qui démontre son évolution en tant qu'artiste. Un incontournable.",Selug,2023-05-06
96,"PLK reste fidèle à son style tout en relevant constamment la barre de l'innovation musicale.",PLK,2023-05-07
97,"Playboi Carti a un impact indéniable sur la culture hip-hop avec son esthétique distinctive.",Playboi Carti,2023-05-08
98,"Tiakola surprend avec sa capacité à jongler entre différents genres musicaux. Un artiste caméléon.",Tiakola,2023-05-09
99,"Moji Sboy continue de marquer des points avec son charisme et sa présence magnétique sur scène.",Moji Sboy,2023-05-10
100,"Winnterzuko excelle dans la production musicale, créant des ambiances uniques pour chaque morceau.",Winnterzuko,2023-05-11
101,"Kaaris, le vétéran du rap, reste une influence majeure pour la nouvelle génération d'artistes.",Kaaris,2023-05-12
102,"Maes a une façon unique de captiver l'auditeur avec ses récits captivants et ses flows variés.",Maes,2023-05-13
103,"PNL continue d'explorer de nouvelles dimensions artistiques, créant une expérience auditive immersive.",PNL,2023-05-14
104,"Niska, l'icône de l'afrotrap, continue de propager son influence avec des collaborations percutantes.",Niska,2023-05-15
105,"XXXTentacion, bien que parti trop tôt, reste une figure incontournable du rap avec son héritage musical puissant.",XXXTentacion,2023-05-16
106,"Josman se démarque par son flow unique et ses métaphores intelligentes qui invitent à la réflexion.",Josman,2023-05-17
107,"Bushi, l'artiste engagé, continue de mettre en lumière des problèmes sociaux à travers ses textes poignants.",Bushi,2023-05-18
108,"Nekfeu, le poète du rap français, excelle dans l'expression d'émotions complexes à travers ses chansons.",Nekfeu,2023-05-19
109,"Alpha apporte une énergie inégalée à ses performances live, créant une connexion spéciale avec le public.",Alpha,2023-05-20
110,"Damso continue de repousser les frontières linguistiques avec des paroles multilingues et des jeux de mots astucieux.",Damso,2023-05-21
111,"Kalash, l'artiste polyvalent, combine les influences du rap et de la dancehall pour créer des tubes entraînants.",Kalash,2023-05-22
112,"Jokair apporte une atmosphère mélodique et introspective à chacun de ses projets, créant une expérience immersive.",Jokair,2023-05-23
113,"So La Lune, l'explorateur sonore, transporte l'auditeur dans des mondes imaginaires avec sa musique atmosphérique.",So La Lune,2023-05-24
114,"Ziak, l'émergent talentueux, apporte un souffle d'air frais avec son approche audacieuse du rap français.",Ziak,2023-05-25
115,"Kerchak, le nouveau visage du rap, impressionne avec son style distinctif et son énergie percutante sur scène.",Kerchak,2023-05-26
116,"Fave, le visionnaire, continue de repousser les limites avec des expérimentations sonores innovantes.",Fave,2023-05-27
117,"Gazo, le maître des refrains accrocheurs, crée une ambiance festive à chaque morceau.",Gazo,2023-05-28
118,"Gradur, le représentant du street rap, reste fidèle à son authenticité tout en évoluant avec le temps.",Gradur,2023-05-29
119,"Leto, l'artiste sans compromis, délivre des messages directs avec un style cru qui ne laisse personne indifférent.",Leto,2023-05-30
120,"Lesram, l'agitateur de foule, sait comment faire vibrer le public avec son énergie débordante.",Lesram,2023-05-31
121,"Dinos, l'artisan des émotions, utilise son flow mélodique pour créer des atmosphères émotionnelles uniques.",Dinos,2023-06-01
122,"Orelsan, le conteur moderne, continue de captiver son public avec des récits perspicaces et des productions variées.",Orelsan,2023-06-02
123,"Koba La D, le maître du rap sombre, transporte l'auditeur dans des mondes ténébreux avec ses paroles percutantes.",Koba La D,2023-06-03
124,"Khali, le lyriciste engagé, utilise son art pour sensibiliser aux réalités sociales et politiques.",Khali,2023-06-04
125,"Guizmo, l'indépendant, maintient son authenticité en restant fidèle à ses racines dans chaque morceau.",Guizmo,2023-06-05
126,"Ajna, l'architecte sonore, crée des paysages sonores uniques qui transcendent les frontières du rap.",Ajna,2023-06-06
127,"Artel, le visionnaire sonore, explore des territoires musicaux inexplorés avec son approche expérimentale.",Artel,2023-06-07
128,"Arso911, le rappeur sous-estimé, continue de prouver sa valeur avec un flow rapide et des paroles incisives.",Arso911,2023-06-08
129,"Laylow, l'explorateur sonore, repousse les limites du rap avec des expérimentations artistiques audacieuses.",Laylow,2023-06-09
130,"Slimka, l'électrique, électrise la scène avec son énergie brute et son style inimitable.",Slimka,2023-06-10
131,"Sopico, l'introspectif, offre une plongée profonde dans ses pensées à travers des paroles réfléchies.",Sopico,2023-06-11
132,"Nepal, le provocateur, défie les conventions avec un flow unique et des textes non conformistes.",Nepal,2023-06-12
133,"Lorenzo, le comique du rap, injecte de l'humour dans chaque morceau tout en restant techniquement impressionnant.",Lorenzo,2023-06-13
134,"BendoZ, l'inclassable, surprend avec sa versatilité, passant du rap planant à des beats énergiques.",BendoZ,2023-06-14
135,"Alkapote, l'agitateur, déchaîne l'énergie avec des morceaux puissants et des collaborations explosives.",Alkapote,2023-06-15
136,"Luv Resval, le mélodiste, tisse des histoires émotionnelles avec des mélodies envoûtantes.",Luv Resval,2023-06-16
137,"Savage Toddy, l'inclassable, fusionne des influences variées pour créer un son distinctif et avant-gardiste.",Savage Toddy,2023-06-17
138,"Jul, le phénomène, maintient son succès avec une production fréquente de tubes qui résonnent avec le public.",Jul,2023-06-18
139,"Zola continue de marquer l'industrie avec son flow caractéristique et ses paroles poignantes.",Zola,2023-06-19
140,"Luther, l'innovateur, explore de nouvelles sonorités qui repoussent les limites du rap français.",Luther,2023-06-20
141,"Selug, le dynamique, impressionne par sa capacité à rester frais et innovant à travers les époques.",Selug,2023-06-21
142,"PLK, le caméléon musical, surprend toujours son public avec des changements de style audacieux.",PLK,2023-06-22
143,"Playboi Carti, le créateur de tendances, influence la mode autant que la musique avec son style distinctif.",Playboi Carti,2023-06-23
144,"Tiakola, l'artiste polyvalent, jongle avec brio entre différentes ambiances et genres musicaux.",Tiakola,2023-06-24
145,"Moji Sboy, le charismatique, captive le public avec son énergie contagieuse et son attitude positive.",Moji Sboy,2023-06-25
146,"Winnterzuko, le producteur talentueux, continue d'innover avec des beats captivants et des arrangements uniques.",Winnterzuko,2023-06-26
147,"Kaaris, le pilier du rap, maintient son statut avec des sorties régulières qui font vibrer la scène.",Kaaris,2023-06-27
148,"Maes, le narrateur, tisse des histoires captivantes qui résonnent avec une audience toujours plus large.",Maes,2023-06-28
149,"PNL, l'énigmatique, garde son aura mystérieuse tout en continuant à créer des expériences sonores uniques.",PNL,2023-06-29
150,"Niska, le showman, ne déçoit jamais sur scène, offrant des performances énergiques qui électrisent la foule.",Niska,2023-06-30
151,"XXXTentacion, l'icône immortelle, continue d'inspirer de nouvelles générations avec son impact durable.",XXXTentacion,2023-07-01
152,"Josman, le narrateur urbain, peint des tableaux vivants de la vie citadine à travers ses textes incisifs.",Josman,2023-07-02
153,"Bushi, le provocateur, secoue les consciences avec ses prises de position audacieuses et ses paroles percutantes.",Bushi,2023-07-03
154,"Nekfeu, le poète des rues, explore des thèmes sociaux profonds tout en restant connecté à son public.",Nekfeu,2023-07-04
155,"Alpha, l'animal du rap, délivre des performances féroces qui laissent une impression inoubliable.",Alpha,2023-07-05
156,"Damso, le maître des émotions, sait toucher le cœur de l'auditeur avec des morceaux introspectifs et puissants.",Damso,2023-07-06
157,"Kalash, le fusionneur de genres, marie habilement les sonorités caribéennes avec le rap pour un résultat entraînant.",Kalash,2023-07-07
158,"Jokair, l'explorateur sonore, voyage à travers des paysages musicaux variés, laissant une empreinte artistique unique.",Jokair,2023-07-08
159,"So La Lune, le mystique, crée une atmosphère envoûtante avec sa musique, transportant l'auditeur dans un autre univers.",So La Lune,2023-07-09
160,"Ziak, l'éclaireur du rap, ouvre la voie avec son style novateur et son approche authentique du game.",Ziak,2023-07-10
161,"Kerchak, le briseur de conventions, défie les attentes avec son flow audacieux et ses choix artistiques uniques.",Kerchak,2023-07-11
162,"Fave, le futuriste, explore des horizons sonores inexplorés, anticipant les tendances musicales à venir.",Fave,2023-07-12
163,"Gazo, le maestro des refrains, crée des hymnes entêtants qui restent gravés dans la mémoire auditive.",Gazo,2023-07-13
164,"Gradur, le street poet, exprime la réalité des quartiers avec un lyrisme brut et une authenticité sans compromis.",Gradur,2023-07-14
165,"Leto, le provocateur sans filtre, lance des messages directs à travers ses paroles incisives et son flow puissant.",Leto,2023-07-15
166,"Lesram, le dynamo live, électrifie la scène avec des performances énergiques qui font vibrer le public.",Lesram,2023-07-16
167,"Dinos, l'architecte des émotions, construit des paysages sonores riches en sensations et en réflexions profondes.",Dinos,2023-07-17
168,"Orelsan, le conteur moderne, continue de s'imposer comme l'un des grands auteurs du rap français.",Orelsan,2023-07-18
169,"Koba La D, le sombre virtuose, maîtrise l'art de plonger l'auditeur dans des abysses émotionnelles avec son rap brut.",Koba La D,2023-07-19
170,"Khali, le poète engagé, utilise sa plume affûtée pour dénoncer les injustices et inspirer le changement.",Khali,2023-07-20
171,"Guizmo, l'indépendant indomptable, reste fidèle à sa voie sans se laisser dicter par les tendances éphémères.",Guizmo,2023-07-21
172,"Ajna, le sculpteur sonore, modèle des compositions complexes qui transcendent les limites du rap conventionnel.",Ajna,2023-07-22
173,"Artel, le visionnaire musical, expérimente avec des sons innovants, repoussant les frontières du rap contemporain.",Artel,2023-07-23
174,"Arso911, le flow incisif, découpe les beats avec une précision chirurgicale, méritant une reconnaissance plus large.",Arso911,2023-07-24
175,"Laylow, l'alchimiste sonore, fusionne les genres avec une maîtrise artistique, créant une expérience musicale unique.",Laylow,2023-07-25
176,"Slimka, l'électrique, charge l'atmosphère avec son énergie débordante et son style qui fait bouger les foules.",Slimka,2023-07-26
177,"Sopico, le penseur mélodique, explore les méandres de l'âme humaine à travers des compositions riches en émotions.",Sopico,2023-07-27
178,"Nepal, le provocateur des mots, délivre des messages tranchants et provocateurs qui bousculent les conventions.",Nepal,2023-07-28
179,"Lorenzo, le comique mélodique, marie l'humour et la musicalité avec brio, offrant des performances divertissantes.",Lorenzo,2023-07-29
180,"BendoZ, l'orfèvre vocal, modèle sa voix unique pour créer des morceaux qui résonnent avec authenticité et originalité.",BendoZ,2023-07-30
181,"Alkapote, l'agitateur énergique, enflamme les foules avec des titres percutants qui font exploser l'énergie.",Alkapote,2023-07-31
182,"Luv Resval, le mélodiste émotionnel, compose des symphonies intimes qui résonnent avec la sensibilité de l'auditeur.",Luv Resval,2023-08-01
183,"Savage Toddy, l'expérimentateur sonore, fusionne des influences variées pour créer un son avant-gardiste et unique.",Savage Toddy,2023-08-02
184,"Jul, le hitmaker prolifique, continue d'inscrire son nom dans les annales du rap avec des succès à répétition.",Jul,2023-08-03
185,"Zola, le phare du rap, illumine la scène avec sa présence magnétique et ses performances exceptionnelles.",Zola,2023-08-04
186,"Luther, l'explorateur sonore, s'aventure courageusement dans des territoires musicaux inconnus, repoussant les frontières.",Luther,2023-08-05
187,"Selug, l'éclatant, brille sur scène avec son charisme unique et ses morceaux entraînants qui enflamment le public.",Selug,2023-08-06
188,"PLK, l'orfèvre des mots, cisele des paroles précises et incisives, laissant une empreinte indélébile sur le paysage musical.",PLK,2023-08-07
189,"Playboi Carti, l'icône du style, définit les tendances avec son esthétique distinctive qui transcende la musique.",Playboi Carti,2023-08-08
190,"Tiakola, le polyvalent, jongle habilement entre les genres, créant une diversité musicale qui séduit un large public.",Tiakola,2023-08-09
191,"Moji Sboy, le charismatique, rayonne sur scène avec son énergie positive, créant une connexion spéciale avec le public.",Moji Sboy,2023-08-10
192,"Winnterzuko, le magicien des beats, enchante avec ses productions uniques qui transportent l'auditeur dans des univers sonores.",Winnterzuko,2023-08-11
193,"Kaaris, l'ancien combattant du rap, continue de livrer des performances puissantes qui témoignent de sa longévité et de son impact.",Kaaris,2023-08-12
194,"Maes, le conteur moderne, tisse des récits captivants qui reflètent la réalité tout en capturant l'imagination de l'auditeur.",Maes,2023-08-13
195,"PNL, les maîtres de l'évasion, créent des voyages sonores qui transportent l'auditeur vers des destinations inexplorées.",PNL,2023-08-14
196,"Niska, le showman charismatique, électrise les foules avec des performances scéniques qui laissent une impression inoubliable.",Niska,2023-08-15
197,"XXXTentacion, l'esprit immortel, continue de hanter la scène avec son héritage musical qui inspire des générations entières.",XXXTentacion,2023-08-16
198,"Josman, l'observateur de la vie, offre des perspectives uniques sur le quotidien à travers des textes riches en détails et en nuances.",Josman,2023-08-17
199,"Bushi, le guerrier des mots, combat l'injustice avec une plume acérée et des messages engagés qui résonnent avec le public.",Bushi,2023-08-18
200,"Nekfeu, le poète des rues, donne une voix aux sans-voix avec des morceaux poignants qui reflètent la diversité de la société.",Nekfeu,2023-08-19
201,"Alpha, le lion du rap, rugit sur scène avec une présence majestueuse et des performances qui marquent les esprits.",Alpha,2023-08-20
202,"Damso, l'architecte des émotions, construit des cathédrales sonores qui capturent l'essence complexe de l'expérience humaine.",Damso,2023-08-21
203,"Kalash, le visionnaire caribéen, fusionne les rythmes des îles avec le rap pour créer une symphonie entraînante et inimitable.",Kalash,2023-08-22
204,"Jokair, l'artisan de l'âme, sculpte des mélodies enchanteresses qui touchent le cœur de l'auditeur avec une délicatesse rare.",Jokair,2023-08-23
205,"So La Lune, le mystique musical, canalise des énergies cosmiques pour créer des sonorités qui transcendent la réalité terrestre.",So La Lune,2023-08-24
206,"Ziak, le pionnier du nouveau son, explore des frontières inconnues avec son style novateur qui ouvre la voie à de nouvelles tendances.",Ziak,2023-08-25
207,"Ziak, c'est nul.",Ziak,2023-08-25
208,"Zola devrait arrêter de faire semblant d'être original. Ses raps sont toujours les mêmes et sans saveur.",Zola,2023-08-26
209,"Luther essaye trop fort d'être différent, mais ça sonne juste bizarre. Personne ne veut entendre ça.",Luther,2023-08-27
210,"Selug pense qu'il est cool, mais honnêtement, je ne comprends pas l'engouement autour de sa musique. C'est fade.",Selug,2023-08-28
211,"PLK se prend trop au sérieux. Son flow monotone et ses paroles creuses me laissent indifférent.",PLK,2023-08-29
212,"Playboi Carti n'a aucun talent réel. Tout ce qu'il fait, c'est du bruit sans signification.",Playboi Carti,2023-08-30
213,"Tiakola essaie de trop en faire avec ses expérimentations musicales. Ça sonne juste bizarre et désagréable.",Tiakola,2023-08-31
214,"Moji Sboy a l'air d'un clown sur scène. Son énergie est artificielle et son rap est une blague.",Moji Sboy,2023-09-01
215,"Winnterzuko se la joue producteur génial, mais ses beats sont juste ennuyeux et sans inspiration.",Winnterzuko,2023-09-02
216,"Kaaris devrait prendre sa retraite. Son rap est dépassé, et il ne peut plus rivaliser avec les nouveaux talents.",Kaaris,2023-09-03
217,"Maes ne sait même pas rapper. Ses paroles sont vides et son flow est tellement basique.",Maes,2023-09-04
218,"PNL essaie trop d'être mystérieux, mais c'est juste de la fumée sans feu. Leurs morceaux sont surcotés.",PNL,2023-09-05
219,"Niska est un wannabe. Il ne fait que copier les autres et n'a rien d'original.",Niska,2023-09-06
220,"XXXTentacion était surcoté de toute façon. Ses fans le voient comme un dieu, mais il était juste un gamin en crise.",XXXTentacion,2023-09-07
221,"Josman essaie d'être profond, mais ses textes sont juste des clichés déguisés en poésie.",Josman,2023-09-08
222,"Bushi joue la carte de l'activisme, mais son rap n'a rien de spécial. Il devrait se concentrer sur autre chose.",Bushi,2023-09-09
223,"Nekfeu se la pète trop avec ses paroles engagées. Il n'a rien fait de vraiment significatif.",Nekfeu,2023-09-10
224,"Alpha pense qu'il est sauvage, mais son rap est juste stupide. Il ne comprend rien à la vraie vie.",Alpha,2023-09-11
225,"Damso se la joue émotionnel, mais c'est juste un truc pour attirer l'attention. C'est bidon.",Damso,2023-09-12
226,"Kalash devrait rester dans la dancehall. Son rap est juste une blague comparé aux vrais artistes.",Kalash,2023-09-13
227,"Jokair se prend pour un génie, mais sa musique est ennuyeuse et sans émotion. C'est de l'artificialité pure.",Jokair,2023-09-14
228,"So La Lune n'a rien de mystique. Sa musique est juste un bruit étrange sans signification.",So La Lune,2023-09-15
229,"Ziak essaie de jouer au rebelle, mais son rap est juste un cri d'attention. C'est pathétique.",Ziak,2023-09-16
230,"Kerchak pense qu'il révolutionne le rap, mais tout ce qu'il fait, c'est du bruit inutile.",Kerchak,2023-09-17
231,"Fave se croit futuriste, mais sa musique est dépassée. Il devrait prendre sa retraite.",Fave,2023-09-18
232,"Gazo ne fait que des refrains agaçants. Il n'a rien de spécial et ses paroles sont simplistes.",Gazo,2023-09-19
233,"Gradur n'a aucun talent. Son rap est basique et il ne peut rivaliser avec les vrais artistes.",Gradur,2023-09-20
234,"Leto se prend pour un dur, mais son rap est juste une façade. Il n'a rien d'authentique.",Leto,2023-09-21
235,"Lesram fait du bruit sans substance. Son rap ne mérite même pas d'être écouté.",Lesram,2023-09-22
236,"Dinos se prend trop au sérieux. Ses paroles prétentieuses ne font que révéler son manque de profondeur artistique.",Dinos,2023-09-23
237,"Orelsan est surcoté. Son flow monotone et ses paroles prétendument intelligentes ne font que m'ennuyer.",Orelsan,2023-09-24
238,"Koba La D essaie d'être sombre, mais son rap est juste déprimant. Personne n'a besoin de cette négativité.",Koba La D,2023-09-25
239,"Khali se fait passer pour un poète engagé, mais ses textes ne sont que des clichés. Il n'a rien de révolutionnaire.",Khali,2023-09-26
240,"Guizmo se croit indépendant, mais son rap est juste médiocre. Il n'a rien de spécial.",Guizmo,2023-09-27
241,"Ajna pense qu'il est expérimental, mais sa musique est juste du bruit confus sans direction.",Ajna,2023-09-28
242,"Artel se prend pour un visionnaire, mais son rap est simplement incompréhensible. C'est de l'art abstrait sans substance.",Artel,2023-09-29
243,"Arso911 ne mérite même pas d'être écouté. Son flow rapide ne peut pas masquer son manque de talent.",Arso911,2023-09-30
244,"Laylow essaie trop d'être original, mais sa musique est juste bizarre. Personne ne comprend ce qu'il essaye de faire.",Laylow,2023-10-01
245,"Slimka ne fait que crier dans le micro. Son rap est agressif sans raison, c'est insupportable.",Slimka,2023-10-02
246,"Sopico pense qu'il est profond, mais ses textes ne sont que des clichés ennuyeux. Il n'a rien d'exceptionnel.",Sopico,2023-10-03
247,"Nepal essaie d'être rebelle, mais son rap est juste dérangeant. Il n'y a aucune cohérence dans sa musique.",Nepal,2023-10-04
248,"Lorenzo n'est même pas drôle. Ses paroles comiques sont juste stupides, ça ne vaut pas la peine de les écouter.",Lorenzo,2023-10-05
249,"BendoZ pense qu'il est versatile, mais son rap est simplement confus. Il ne sait pas où il va artistiquement.",BendoZ,2023-10-06
